REGIONE;PIAZZA;PUNTO VENDITA
ABRUZZO;16;AUCHAN PESCARA
ABRUZZO;16;IPERCOOP SAMBUCETO
ABRUZZO;16;IPERSIMPLY SPOLTORE
CAMPANIA;22;AUCHAN GIUGLIANO
CAMPANIA;22;IPERCOOP AFRAGOLA
EMILIA;4;AUCHAN PIACENZA
EMILIA;4;ESSELUNGA PIACENZA - VIA DELLA CONCILIAZIONE
EMILIA;4;SIMPLY PODENZANO
FRIULI;10;EMISFERO MONFALCONE
FRIULI;10;IPERSIMPLY MONFALCONE
LAZIO;21;AUCHAN PORTA DI ROMA
LAZIO;21;PANORAMA ROMA - TIBURTINA
LAZIO;21;PUNTO SIMPLY ROMA - P.ZZA BOLOGNA
LAZIO;21;SIMPLY ROMA - TOR BELLA MONACA
LOMBARDIA;3;AUCHAN MERATE
LOMBARDIA;3;ESSELUNGA CERNUSCO LOMBARDONE
LOMBARDIA;7;AUCHAN RONCADELLE
LOMBARDIA;7;ESSELUNGA BRESCIA - VIA VOLTA
LOMBARDIA;7;IPERSIMPLY BRESCIA - SANT'ANNA
LOMBARDIA;7;SIMPLY BRESCIA - SAN ZENO
LOMBARDIA;8;AUCHAN CURNO
LOMBARDIA;8;ESSELUNGA CURNO - VIA BERGAMO
LOMBARDIA;9;AUCHAN ANTEGNATE
LOMBARDIA;9;IPERCOOP TREVIGLIO
MANTOVA;14;FAMILA MANTOVA
MANTOVA;14;IPERSIMPLY MANTOVA
MANTOVA;15;FAMILA VIADANA
MANTOVA;15;IPERSIMPLY VIADANA
MARCHE;17;AUCHAN ANCONA
MARCHE;17;CONAD FANO - VIA TOGLIATTI
MARCHE;17;IPERSIMPLY SENIGALLIA
MARCHE;18;IPER COLONNELLA
MARCHE;18;IPERSIMPLY GROTTAMMARE
MARCHE;20;EUROSPIN CIVITANOVA MARCHE
MARCHE;20;IPERSIMPLY MACERATA
MILANO;1;AUCHAN VIMODRONE
MILANO;1;ESSELUNGA PIOLTELLO
MILANO;1;PUNTO SIMPLY MILANO - SAN GOTTARDO
MILANO;1;SIMPLY MILANO - VIALE MONZA
MILANO;2;AUCHAN RESCALDINA
MILANO;2;ESSELUNGA LEGNANO SEMPIONE
PIEMONTE;5;AUCHAN TORINO
PIEMONTE;5;MERCATO' RIVOLI
PIEMONTE;5;SIMPLY TORINO - CESANA
PIEMONTE;6;AUCHAN CUNEO
PIEMONTE;6;BIGSTORE CUNEO
PUGLIA;26;AUCHAN TARANTO
PUGLIA;26;IPERCOOP TARANTO - MONGOLFIERA
PUGLIA;27;AUCHAN BARI CASAMASSIMA
PUGLIA;27;IPERCOOP BARI - MONGOLFIERA
SARDEGNA;28;AUCHAN SASSARI
SARDEGNA;28;CONAD SASSARI - VIA GRAMSCI
SARDEGNA;29;AUCHAN OLBIA
SARDEGNA;29;CONAD OLBIA
SARDEGNA;30;AUCHAN CAGLIARI - MARCONI
SARDEGNA;30;CONAD CAGLIARI - VIA JENNER
SICILIA;23;AUCHAN PORTE DI CATANIA
SICILIA;23;IPERCOOP GRAVINA DI CATANIA
SICILIA;23;IPERSIMPLY CATANIA - OGNINA
SICILIA;23;SIMPLY CATANIA - NUOVALUCE
SICILIA;24;AUCHAN MELILLI
SICILIA;24;SUPERSPACCIO ALIMENTARE SIRACUSA
SICILIA;25;AUCHAN PALERMO - CONCA D'ORO
SICILIA;25;IPERCOOP PALERMO - BORGONUOVO TORRE
SICILIA;25;SIMPLY BAGHERIA
UMBRIA;19;COOP FOLIGNO
UMBRIA;19;IPERSIMPLY TREVI
VENETO;11;AUCHAN BUSSOLENGO
VENETO;11;ESSELUNGA VERONA - VIA FINCATO
VENETO;11;SIMPLY PESCHIERA DEL GARDA
VENETO;12;ALIPER PIOVE DI SACCO
VENETO;12;AUCHAN MESTRE
VENETO;12;IPERSIMPLY PIOVE DI SACCO
VENETO;13;ALIPER POVOLARO
VENETO;13;AUCHAN VICENZA
